,time,open,high,low,close,tick_volume,spread,real_volume
246,1673278020,1.21771,1.21789,1.21753,1.21769,165,5,0
247,1673278080,1.21767,1.21768,1.21704,1.21731,169,5,0
248,1673278140,1.21732,1.21776,1.21728,1.21775,151,5,0
249,1673278200,1.21775,1.21779,1.21769,1.21776,85,5,0
250,1673278260,1.21776,1.21792,1.2177,1.2178200000000001,115,5,0
251,1673278320,1.21781,1.21875,1.21779,1.2184300000000001,164,5,0
252,1673278380,1.2184300000000001,1.21881,1.21834,1.21866,110,5,0
253,1673278440,1.21866,1.21866,1.21805,1.21805,160,5,0
254,1673278500,1.21803,1.2181899999999999,1.21791,1.21801,130,5,0
255,1673278560,1.218,1.21808,1.2178200000000001,1.218,95,5,0
256,1673278620,1.218,1.21812,1.21752,1.21757,87,5,0
257,1673278680,1.21752,1.21759,1.21719,1.2172,85,5,0
258,1673278740,1.21718,1.21718,1.21683,1.21694,123,5,0
259,1673278800,1.21692,1.21749,1.21692,1.21718,194,5,0
260,1673278860,1.21718,1.21738,1.21712,1.2172,126,5,0
261,1673278920,1.21721,1.21736,1.21682,1.21691,154,5,0
262,1673278980,1.21696,1.21701,1.21638,1.2166,164,5,0
263,1673279040,1.21661,1.21669,1.21617,1.21647,138,5,0
264,1673279100,1.21647,1.21705,1.21645,1.21696,107,5,0
265,1673279160,1.21696,1.21706,1.21681,1.21685,82,5,0
266,1673279220,1.21686,1.21738,1.21683,1.21718,130,5,0
267,1673279280,1.21718,1.21742,1.21698,1.21731,158,5,0
268,1673279340,1.21731,1.21732,1.21683,1.2168700000000001,122,5,0
269,1673279400,1.21691,1.21712,1.21684,1.21696,89,5,0
270,1673279460,1.21696,1.21702,1.21641,1.21641,107,5,0
271,1673279520,1.21639,1.21661,1.21623,1.21659,108,5,0
272,1673279580,1.21659,1.21662,1.21631,1.21642,120,5,0
273,1673279640,1.21642,1.21689,1.21638,1.2168700000000001,145,5,0
274,1673279700,1.21686,1.21734,1.21679,1.21729,159,5,0
275,1673279760,1.21729,1.21731,1.21689,1.2169,130,5,0
276,1673279820,1.2169,1.21701,1.21664,1.21701,126,5,0
